service_type,org,name,common_name,full_name,address,city,state,zip,lat,lon,acres,use_restriction,dedicated_park,community,service_district,playground,tot_lot,baseball_50_6,baseball_90,softball,multi_purpose,basketball,tennis,sand_vball,comfort_station,pickleball,source
park,City of San Diego Parks & Recreation,Los Altos Neighborhood Park,LOS ALTOS NP (Undeveloped),Los Altos Neighborhood Park,"3898 MARZO ST, 92154",San Diego,CA,92154,32.56997517,-117.05040193,10.2881282,DEDIC PK/OS--ORD.,Y,OTAY MESA-NESTOR,42.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,J Street Mini-Park,J ST MP,J Street Mini-Park,"3291 J St., 92102",San Diego,CA,92102,32.70975025,-117.12280798,0.21975204,DEDIC PK/OS--ORD.,Y,SOUTHEASTERN SAN DIEGO,42.0,1,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Univeristy Gardens Neighborhood Park,UNIVERSITY GARDENS NP,Univeristy Gardens Neighborhood Park,"6431 Gullstrand Street, 92122",San Diego,CA,92122,32.85405996,-117.19020325,13.32132969,DEDIC PK/OS--ORD.,Y,UNIVERSITY,44.0,1,1,1,0,0,1,0,0,0,1,0,Parks_SD
park,City of San Diego Parks & Recreation,Neighborhood 8 Neighborhood Park,NEIGHBORHOOD 8 NP (Undeveloped),Neighborhood 8 Neighborhood Park,"11900 Carmel Creek RD,92130",San Diego,CA,11900,32.93619581,-117.22265604,19.750974770000003,DESIGNATED PARKLAND,N,CARMEL VALLEY,40.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,North Park Mini-Park,NORTH PARK MP,North Park Mini-Park,"2874 N PARK WAY, 92104",San Diego,CA,92104,32.74761562,-117.13147375,0.5396316, , ,NORTH PARK,41.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Stonebridge Neighborhood Park,STONEBRIDGE NP,Stonebridge Neighborhood Park,15030 Sycamore Trail Rd.,San Diego,CA,15030,32.9243609,-117.02012052,8.13397368,DEDICATED PARKLAND,N,RANCHO ENCANTADA,40.0,1,1,0,0,2,1,0,0,1,1,0,Parks_SD
park,City of San Diego Parks & Recreation,Nicholson's Point Park,NICHOLSON'S POINT NP (Undeveloped),Nicholson's Point Park,"246 COAST BLVD, 92037",San Diego,CA,92037,32.838921510000006,-117.28162873,0.50988216,DEDIC PK/OS--ORD.,Y,LA JOLLA,0.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Del Mar Mesa Neighborhood Park,ELIZABETH RABBIT NP (DEL MAR MESA NP),Del Mar Mesa Neighborhood Park,"6622 DUCK POND LN, 92130",San Diego,CA,92130,32.94089137,-117.1817044,3.71441571,SEE L1203 ENTRIES,N,DEL MAR MESA,40.0,1,1,0,0,0,0,0,0,0,1,0,Parks_SD
park,City of San Diego Parks & Recreation,Mesa Viking Neighborhood Park,MESA VIKING NP,Mesa Viking Neighborhood Park,"11278 Westonhill Drive, 92126",San Diego,CA,11278,32.925431180000004,-117.13646313,6.63386529,DEDIC PK/OS--ORD.,Y,MIRA MESA,44.0,1,1,0,0,0,0,1,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Montgomery Waller Community Park & Recreation Center,MONTGOMERY-WALLER CP & REC CENTER,Montgomery Waller Community Park & Recreation Center,"3020 Coronado Ave., 92154",San Diego,CA,92154,32.58079461,-117.06866647,58.87172412,SEE L1203 ENTRIES,Y,OTAY MESA-NESTOR,42.0,2,0,1,1,3,2,2,0,0,1,0,Parks_SD
park,City of San Diego Parks & Recreation,Lopez Ridge Neighborhood Park & Recreation Center,LOPEZ RIDGE NP & REC CENTER,Lopez Ridge Neighborhood Park & Recreation Center,"7245 Calle Cristobal, 92126",San Diego,CA,92126,32.92072199,-117.16730103,18.24350271,DEDIC PK/OS--ORD.,Y,MIRA MESA,44.0,1,1,0,0,1,1,1,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,John P. Baca Park,JOHN P. BACA PARK,John P. Baca Park,Linda Vista Rd. and Comstock St.  92111,San Diego,CA,92111,32.78491625,-117.17133252,1.69623148,DEDIC PK/OS-ORD,Y,LINDA VISTA,45.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Mount Etna Neighborhood Park,MT ETNA NP,Mount Etna Neighborhood Park,"4741 Mt Etna Drive, 92117",San Diego,CA,92117,32.82209874,-117.19218567,7.32172513,DEDIC PK/OS--ORD.,Y,CLAIREMONT MESA,44.0,1,0,3,0,0,0,0,0,0,1,0,Parks_SD
park,City of San Diego Parks & Recreation,Soledad Natural Open Space Park,SOLEDAD NATURAL PARK,Soledad Natural Open Space Park,"7016 SOLEDAD PARK RD, 92037",San Diego,CA,92037,32.84081871,-117.24406477,3.215766, ,Y,LA JOLLA,44.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Chicano Regional Park,CHICANO PARK,Chicano Regional Park,"1982 National Ave., 92113",San Diego,CA,92113,32.70025377,-117.14340798,1.00339426,SEE L1203 ENTRIES,,BARRIO LOGAN,42.0,1,1,0,0,0,0,2,0,0,1,0,Parks_SD
park,City of San Diego Parks & Recreation,Vail Creek Neighborhood Park,VAIL CREEK NP,Vail Creek Neighborhood Park,"5116 CARMEL KNOLLS DR, 92130",San Diego,CA,92130,32.94913472,-117.20532567,1.33882923, ,Y,CARMEL VALLEY,40.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Villa La Jolla Neighborhood Park,VILLA LA JOLLA NP,Villa La Jolla Neighborhood Park,"8341 VIA MALLORCA, 92037",San Diego,CA,92037,32.85739769,-117.23429536,5.79195782,DEDIC PK/OS--ORD.,Y,UNIVERSITY,44.0,1,1,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Boone Neighborhood Park,BOONE NP,Boone Neighborhood Park,"7248 Bullock Dr., 92114",San Diego,CA,92114,32.69785512,-117.03775246,4.408922,DEDIC PK/OS--ORD.,Y,SKYLINE-PARADISE HILLS,43.0,1,0,0,0,0,0,1,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Murray Ridge Neighborhood Park,MURRAY RIDGE NP,Murray Ridge Neighborhood Park,"8651 Celestine Avenue, 92123",San Diego,CA,92123,32.79025232,-117.14688636,10.69510972,DEDIC PK/OS--ORD.,Y,SERRA MESA,45.0,1,0,0,0,0,1,1,1,0,0,2,Parks_SD
park,City of San Diego Parks & Recreation,Via Del Norte Mini-Park,VIA DEL NORTE MP,Via Del Norte Mini-Park,"6165 LA JOLLA HERMOSA AVE, 92037",San Diego,CA,92037,32.82290863,-117.27426322,0.36450885,DEDIC PK/OS--ORD.,,LA JOLLA,44.0,1,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,King Promenade,KING PROMENADE NP,King Promenade,"326 W HARBOR DR, 92101",San Diego,CA,92101,32.71062962,-117.16637868,0.51873681,NONE,N,DOWNTOWN,45.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Linda Vista Community Park & Recreation Center,LINDA VISTA CP & REC CENTER,Linda Vista Community Park & Recreation Center,"6842 OSLER ST, 92111",San Diego,CA,92111,32.79244817,-117.17060753,15.9421612,DEDIC PK/OS--ORD.,Y,LINDA VISTA,45.0,1,1,0,0,2,1,1,4,0,1,1,Parks_SD
park,City of San Diego Parks & Recreation,San Ysidro Athletic Area Larsen Field,SAN YSIDRO ATHL AREA LARSEN FIELD,San Ysidro Athletic Area Larsen Field,"455 SYCAMORE RD, 92173",San Diego,CA,92173,32.546331460000005,-117.0455566,17.08615068,SEE L1203 ENTRIES,N,SAN YSIDRO,42.0,1,1,0,1,2,3,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Vista Pacifica Neighborhood Park,VISTA PACIFICA NP,Vista Pacifica Neighborhood Park,"6066 Avenida de las Vistas, 92154",San Diego,CA,92154,32.58169852,-117.00551293,6.87237924,SEE L1203 ENTRIES,N,OTAY MESA,42.0,1,1,0,0,2,1,1,0,1,1,0,Parks_SD
park,City of San Diego Parks & Recreation,Canyonside Community Park & Recreation Center,CANYONSIDE CP & REC CENTER,Canyonside Community Park & Recreation Center,"12350 Black Mountain Road, 92129",San Diego,CA,12350,32.94209331,-117.13292329,42.86312289,DEDIC PK/OS--ORD.,Y,RANCHO PEÑASQUITOS,40.0,1,0,4,0,5,3,0,12,0,1,0,Parks_SD
park,City of San Diego Parks & Recreation,Cabrillo Heights,CABRILLO HEIGHTS NP,Cabrillo Heights,"8308 Hurlbut Street, 92123",San Diego,CA,92123,32.80569831,-117.14766884,13.88534684,DEDIC PK/OS--ORD.,Y,SERRA MESA,45.0,2,0,3,1,0,2,0,0,0,3,0,Parks_SD
park,City of San Diego Parks & Recreation,Coast Blvd. Park,COAST BLVD RP (Undeveloped),Coast Blvd. Park,"322 COAST BLVD, 92037",San Diego,CA,92037,32.840957669999995,-117.28155496,0.01596112,SEE L1203 ENTRIES,N,LA JOLLA,,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Canyon Hills Resource Park,CANYON HILLS RESOURCE PARK (Undeveloped),Canyon Hills Resource Park,"12300 Alemania Rd,92129",San Diego,CA,12300,32.935231800000004,-117.11564358,54.39851733,NONE,Y,MIRA MESA,44.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
