tract_geoid,economic_coverage,economic_score,education_score,education_coverage,health_coverage,health_score,housing_coverage,housing_score,safety_env_coverage,safety_env_score,mobility_connectivity_coverage,mobility_connectivity_score,youth_supports_coverage,youth_supports_score,yoi_raw_0_1,yoi_0_100,service_count,services_per_10k,total_population
06073003209,1.0,0.8559087767795439,0.5,0.0,1.0,0.46606820556663814,1.0,0.25655172413793104,0.0,,1.0,0.18408022228555143,1.0,0.4449938254013489,,,8,15.160128861095318,5277
06073003211,1.0,0.49723565998617825,0.5,0.0,1.0,0.4013233996933057,1.0,0.2586206896551724,0.0,,1.0,0.5645958012729173,1.0,0.21298898071625344,,,3,9.749756256093598,3077
06073003212,1.0,0.44505874222529374,0.5,0.0,1.0,0.46948886536660833,1.0,0.2998275862068966,0.0,,1.0,0.48111499002564834,1.0,0.32616034957727746,,,5,12.722646310432571,3930
06073003213,1.0,0.612992398064962,0.5,0.0,1.0,0.5822480967308553,1.0,0.42172413793103447,0.0,,1.0,0.42180725752826065,1.0,0.01826327538709984,,,0,0.0,3825
06073017107,1.0,0.7360055286800277,0.5,0.0,1.0,0.6985262386516303,1.0,0.8429310344827586,0.0,,1.0,0.8886791108577943,1.0,0.3715051771634844,,,5,15.89319771137953,3146
06073008360,1.0,0.5628887353144436,0.5,0.0,1.0,0.44746488621096775,1.0,0.2994827586206897,0.0,,1.0,0.2112976156549824,1.0,0.5223268737532061,,,11,15.556498373638806,7071
06073008502,1.0,0.15272978576364893,0.5,0.0,1.0,0.3013784961120384,1.0,0.4067241379310345,0.0,,1.0,0.29986368386054907,1.0,0.5330165289256198,,,11,16.233766233766236,6776
06073008504,1.0,0.3890808569454043,0.5,0.0,1.0,0.4299713661469147,1.0,0.5474137931034483,0.0,,1.0,0.5191443431176974,1.0,0.7911420632658878,,,22,37.3134328358209,5896
06073008504,1.0,0.3890808569454043,0.5,0.0,1.0,0.4299713661469147,1.0,0.5474137931034483,0.0,,1.0,0.5191443431176974,1.0,0.7911420632658878,,,22,37.3134328358209,5896
06073008504,1.0,0.3890808569454043,0.5,0.0,1.0,0.4299713661469147,1.0,0.5474137931034483,0.0,,1.0,0.5191443431176974,1.0,0.7911420632658878,,,22,37.3134328358209,5896
06073008504,1.0,0.3890808569454043,0.5,0.0,1.0,0.4299713661469147,1.0,0.5474137931034483,0.0,,1.0,0.5191443431176974,1.0,0.7911420632658878,,,22,37.3134328358209,5896
06073008504,1.0,0.3890808569454043,0.5,0.0,1.0,0.4299713661469147,1.0,0.5474137931034483,0.0,,1.0,0.5191443431176974,1.0,0.7911420632658878,,,22,37.3134328358209,5896
