tract_geoid,economic_score,economic_coverage,education_score,education_coverage,health_score,health_coverage,housing_score,housing_coverage,safety_env_score,safety_env_coverage,mobility_connectivity_score,mobility_connectivity_coverage,youth_supports_score,youth_supports_coverage,yoi_raw_0_1,yoi_0_100
06073017069,0.9419398907103825,1.0,,0.0,0.9668934240362811,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.2789794072310064,1.0,0.6717831124672066,67.17831124672065
06073003800,0.9959016393442623,1.0,,0.0,0.08208616780045352,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.036005501250703814,1.0,0.40332825907164405,40.332825907164406
06073003901,0.1441256830601093,1.0,,0.0,0.056916099773242634,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.1059673801678066,1.0,0.20158222272307874,20.158222272307874
06073003902,0.30601092896174864,1.0,,0.0,0.09410430839002266,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.7353949178042996,1.0,0.4087074707618068,40.87074707618068
06073004000,0.08674863387978138,1.0,,0.0,0.019727891156462563,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.8556350898568383,1.0,0.3653578356960597,36.53578356960597
06073008800,0.11475409836065575,1.0,,0.0,0.3002267573696145,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.33178218370116025,1.0,0.31152069183064673,31.152069183064672
06073008901,0.5191256830601093,1.0,,0.0,0.5922902494331066,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.6762112443349118,1.0,0.5717367261798211,57.173672617982106
06073013317,0.6489071038251366,1.0,,0.0,0.6682539682539682,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.7520971210736669,1.0,0.6421444802609821,64.21444802609821
06073018201,0.26844262295081966,1.0,,0.0,0.3276643990929705,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.561924145506235,1.0,0.41433772386029544,41.433772386029545
06073018101,0.6147540983606558,1.0,,0.0,0.5378684807256237,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.3308919225763576,1.0,0.4957085573884484,49.57085573884484
06073017202,0.9480874316939891,1.0,,0.0,0.9231292517006803,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.48463341917499697,1.0,0.7137924576152057,71.37924576152056
06073018302,0.30601092896174864,1.0,,0.0,0.4247165532879819,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.40414947525821726,1.0,0.40854917134977603,40.854917134977605
06073017068,0.7862021857923498,1.0,,0.0,0.8748299319727891,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.9300095071950083,1.0,0.772590338212826,77.2590338212826
06073013325,0.2718579234972678,1.0,,0.0,0.2997732426303855,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.172176686142571,1.0,0.3107818950403452,31.07818950403452
06073013318,0.9357923497267759,1.0,,0.0,0.6369614512471655,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.5083151035176622,1.0,0.64509715809569,64.509715809569
06073001301,0.5785519125683061,1.0,,0.0,0.6904761904761904,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.4807617755378949,1.0,0.562277401618387,56.2277401618387
06073015407,0.02390710382513661,1.0,,0.0,0.09682539682539686,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.6067021109665034,1.0,0.3066885848770483,30.66885848770483
06073008367,0.3319672131147541,1.0,,0.0,0.5791383219954648,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.8098321010900968,1.0,0.5550643410228681,55.5064341022868
06073010017,0.5416666666666667,1.0,,0.0,0.47460317460317464,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.9038107237467579,1.0,0.6048500732269388,60.48500732269388
06073007304,0.20218579234972678,1.0,,0.0,0.5761904761904763,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.11481091758277259,1.0,0.348126728503533,34.8126728503533
06073005602,0.32513661202185795,1.0,,0.0,0.7040816326530611,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.8272316524981771,1.0,0.5889424062660632,58.89424062660632
06073021306,0.42622950819672134,1.0,,0.0,0.6324263038548753,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.1005252032970583,1.0,0.41462518580995283,41.46251858099529
06073013319,0.8039617486338798,1.0,,0.0,0.6467120181405895,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.7539131799259731,1.0,0.6759766686478997,67.59766686478997
06073009101,0.6837431693989071,1.0,,0.0,0.746031746031746,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.4408357101320854,1.0,0.5924825883634738,59.248258836347375
06073013324,0.9918032786885246,1.0,,0.0,0.6832199546485261,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.140661257718827,1.0,0.5787510547367585,57.875105473675845
06073009000,0.5785519125683061,1.0,,0.0,0.48866213151927446,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.7421976388927349,1.0,0.577182852717868,57.7182852717868
06073008371,0.9631147540983607,1.0,,0.0,0.9217687074829932,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.8913023011104035,1.0,0.8188763726457284,81.88763726457285
06073008368,0.5191256830601093,1.0,,0.0,0.9188208616780046,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.8508030349181734,1.0,0.6970173268868609,69.70173268868609
06073017057,0.8039617486338798,1.0,,0.0,0.873015873015873,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.31252457563758207,1.0,0.6222054812946229,62.220548129462294
06073021502,0.5662568306010929,1.0,,0.0,0.8691609977324264,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.9615766252226807,1.0,0.7240785453618391,72.40785453618392
06073007601,0.34084699453551914,1.0,,0.0,0.7498866213151928,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.5739590544494596,1.0,0.541003099547832,54.1003099547832
06073008373,0.6837431693989071,1.0,,0.0,0.9238095238095237,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.9076288317226484,1.0,0.7536253132055589,75.36253132055589
06073017201,0.8879781420765027,1.0,,0.0,0.9585034013605442,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.6937769408984761,1.0,0.7598945530566699,75.98945530566698
06073007911,0.6775956284153005,1.0,,0.0,0.737641723356009,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.036005501250703814,1.0,0.4876406452282924,48.764064522829244
06073018102,0.47882513661202186,1.0,,0.0,0.5546485260770975,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.3955177729164936,1.0,0.4820777908741924,48.20777908741924
06073008201,0.657103825136612,1.0,,0.0,0.8859410430839002,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.8656144140152668,1.0,0.7269947525317338,72.69947525317339
06073020035,0.9207650273224044,1.0,,0.0,0.8807256235827664,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.4883347640277278,1.0,0.6972862857060138,69.72862857060139
06073020032,0.9357923497267759,1.0,,0.0,0.8564625850340137,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.11821227812699028,1.0,0.602446735194734,60.2446735194734
