the_geom,objectid,stop_uid,stop_agency,stop_id,stop_name,lat,lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place
POINT (-117.245644000428 33.22126999986),"4,772",NCTD_20690,NCTD,20690,Bobier Dr & N Santa Fe Av,33.22127,-117.245644,20690.0,0,,,F-W/B,nsfbob
POINT (-117.319270000031 33.109140000365),"6,219",NCTD_cpsta,NCTD,cpsta,Carlsbad Poinsettia Station,33.10914,-117.31927,,1,,,,
POINT (-117.082555330481 32.705833910058),"2,142",MTS_11015,MTS,11015,Imperial Av & San Jacinto Dr,32.70583391,-117.08255533,11015.0,0,,1.0,N-W/B,
POINT (-116.932978300235 32.841370350397),"4,329",MTS_40865,MTS,40865,Winter Gardens Bl & Fair Ln,32.84137035,-116.9329783,40865.0,0,,1.0,F-N/B,
POINT (-117.043168169523 32.683437750071),"4,356",MTS_60715,MTS,60715,Woodman St & Alscacia St,32.68343775,-117.04316817,60715.0,0,,0.0,F-N/B,
POINT (-117.232001000021 33.079663999757),"4,778",NCTD_20697,NCTD,20697,La Costa Av & Calle Timiteo,33.079664,-117.232001,20697.0,0,,,F-E/B,
POINT (-117.261518000363 32.949148999846),"4,882",NCTD_20908,NCTD,20908,Camino Del Mar & 4th St,32.949149,-117.261518,20908.0,0,,,N-S/B,cdm4th
POINT (-117.268017999762 32.969275000239),"4,874",NCTD_20899,NCTD,20899,Camino Del Mar & 25th St,32.969275,-117.268018,20899.0,0,,,F-S/B,
POINT (-117.213730670291 32.86906000044),"4,148",MTS_95032,MTS,95032,UTC Transit Center,32.86906,-117.21373067,95032.0,0,utc,1.0,M-TC-Bus,utc
POINT (-117.079199910222 32.758306090182),363,MTS_12914,MTS,12914,54th St & El Cajon Bl,32.75830609,-117.07919991,12914.0,0,,1.0,F-N/B,54elcn
POINT (-117.119165999941 33.115496999577),"5,966",NCTD_24924,NCTD,24924,Citracado Pkwy & Lupulin Ln,33.115497,-117.119166,24924.0,0,,,M-Street-N/B,
POINT (-117.08297834979 32.63294377985),"1,908",MTS_30164,MTS,30164,H St & Fig Av,32.63294378,-117.08297835,30164.0,0,,1.0,M-Street-W/B,
POINT (-117.236433139655 32.71611917993),"3,651",MTS_11892,MTS,11892,Rosecrans St & Kona Wy,32.71611918,-117.23643314,11892.0,0,,2.0,M-Street-W/B,
POINT (-117.377829999654 33.193733000219),"4,922",NCTD_20999,NCTD,20999,Coast Hwy & Topeka St,33.193733,-117.37783,20999.0,0,,,F-S/B,
POINT (-117.097452770414 32.675276329777),"1,955",MTS_12519,MTS,12519,Highland Av & E 12th St (Walmart),32.67527633,-117.09745277,12519.0,0,,1.0,F-N/B,
POINT (-117.126573820403 32.763242030167),456,MTS_10549,MTS,10549,Adams Av & W Mountain View Dr,32.76324203,-117.12657382,10549.0,0,,1.0,N-E/B,
POINT (-116.999634340445 32.801941559961),"1,686",MTS_40166,MTS,40166,Fletcher Pkwy & Navajo Rd,32.80194156,-116.99963434,40166.0,0,,1.0,M-Street-E/B,
POINT (-117.263959000409 33.045972000415),"4,559",NCTD_20248,NCTD,20248,Encinitas Bl & Beechtree Dr,33.045972,-117.263959,20248.0,0,,,N-E/B,
POINT (-117.234289000389 33.275436000201),"5,610",NCTD_22563,NCTD,22563,Hwy 76 & Via Montellano,33.275436,-117.234289,22563.0,0,,,M-Street-S/B,
POINT (-117.127016909952 32.831275489745),"1,114",MTS_10180,MTS,10180,Clairemont Mesa Bl & Ruffin Rd,32.83127549,-117.12701691,10180.0,0,,1.0,N-E/B,
POINT (-117.093414109521 32.721223179924),296,MTS_12531,MTS,12531,47th St & Federal Bl,32.72122318,-117.09341411,12531.0,0,,1.0,N-N/B,47fed
POINT (-117.257790000018 33.13428799981),"5,524",NCTD_22416,NCTD,22416,Loker Av West & 2731,33.134288,-117.25779,22416.0,0,,,M-Special_Loc,
POINT (-116.529365010288 32.821821100059),"3,150",MTS_98093,MTS,98093,Old Hwy 80 & Majors Coffee Shop,32.8218211,-116.52936501,98093.0,0,,2.0,M-Street-W/B,pinval
POINT (-117.0429992302 32.736204310195),"2,697",MTS_11795,MTS,11795,Massachusetts Av & San Miguel Av,32.73620431,-117.04299923,11795.0,0,,1.0,M-Street-S/B,masmig
POINT (-117.062589910379 32.965881099892),"3,541",MTS_99421,MTS,99421,Pomerado Rd & Vaughan Rd,32.9658811,-117.06258991,99421.0,0,,1.0,F-S/B,
POINT (-117.050377060378 32.668082090433),"3,439",MTS_60708,MTS,60708,Parkside Av & Parkside Pl,32.66808209,-117.05037706,60708.0,0,,1.0,F-N/B,
POINT (-117.280541999784 33.177627000374),"4,467",NCTD_20070,NCTD,20070,Sky Haven Ln & Lake Bl,33.177627,-117.280542,20070.0,0,,,F-N/B,
POINT (-117.072967999911 33.127835000437),"5,680",NCTD_22743,NCTD,22743,Valley Pkwy & Elm St,33.127835,-117.072968,22743.0,0,,,F-W/B,
POINT (-117.275078000119 33.134421999642),"5,537",NCTD_22431,NCTD,22431,Priestly Dr & Faraday Av,33.134422,-117.275078,22431.0,0,,,N-N/B,
POINT (-116.973400080106 32.794875350264),"4,197",MTS_40180,MTS,40180,W Main St & Richfield Av,32.79487535,-116.97340008,40180.0,0,,1.0,N-E/B,
POINT (-117.084924450155 32.603131520291),"3,369",MTS_91003,MTS,91003,Palomar Street Transit Center,32.60313152,-117.08492445,91003.0,0,paltro,1.0,M-TC-Bus,paltro
POINT (-117.096686669896 32.569088220144),"3,790",MTS_60079,MTS,60079,Satellite Bl & Thermal Av,32.56908822,-117.09668667,60079.0,0,,1.0,F-E/B,
POINT (-117.091278690211 32.684174269968),357,MTS_99303,MTS,99303,4th St & Palm Av,32.68417427,-117.09127869,99303.0,0,,1.0,N-W/B,
POINT (-117.064241950279 32.709908520104),"2,123",MTS_11416,MTS,11416,Imperial Av & 62nd St,32.70990852,-117.06424195,11416.0,0,,1.0,F-W/B,imp62
