GEOID,NAME,youth_10_19,services_per_1k_youth_10_19,median_hh_income_2023usd,zero_veh_share,severity_score,priority_tier,suitability_score
06073008367,83.67,545.0,3.669724770642202,120742.0,0.0394626364399664,0.5097638252850707,Medium,0.141041918141734
06073008367,83.67,545.0,3.669724770642202,120742.0,0.0394626364399664,0.5097638252850707,Medium,0.141041918141734
06073010017,100.17,919.0,3.264417845484222,108042.0,0.0213256484149855,0.5043681749915947,Medium,0.19260722919408363
06073010017,100.17,919.0,3.264417845484222,108042.0,0.0213256484149855,0.5043681749915947,Medium,0.19260722919408363
06073010017,100.17,919.0,3.264417845484222,108042.0,0.0213256484149855,0.5043681749915947,Medium,0.19260722919408363
06073007304,73.04,112.0,0.0,104311.0,0.0505149583128984,0.4693857091558157,Medium,0.40234492284239526
06073005602,56.02,0.0,,100397.0,0.0362056480811006,,,
06073005602,56.02,0.0,,100397.0,0.0362056480811006,,,
06073005602,56.02,0.0,,100397.0,0.0362056480811006,,,
06073005602,56.02,0.0,,100397.0,0.0362056480811006,,,
06073005602,56.02,0.0,,100397.0,0.0362056480811006,,,
06073005602,56.02,0.0,,100397.0,0.0362056480811006,,,
06073005602,56.02,0.0,,100397.0,0.0362056480811006,,,
06073005602,56.02,0.0,,100397.0,0.0362056480811006,,,
06073005602,56.02,0.0,,100397.0,0.0362056480811006,,,
06073005602,56.02,0.0,,100397.0,0.0362056480811006,,,
06073005602,56.02,0.0,,100397.0,0.0362056480811006,,,
06073005602,56.02,0.0,,100397.0,0.0362056480811006,,,
06073005602,56.02,0.0,,100397.0,0.0362056480811006,,,
06073005602,56.02,0.0,,100397.0,0.0362056480811006,,,
06073021306,213.06,890.0,0.0,157008.0,0.0072416063199473,0.48810665594340485,Medium,0.4230147010246981
06073013319,133.19,1094.0,0.0,145256.0,0.0475008862105636,0.48346520680740374,Medium,0.4356493175199064
06073009101,91.01,374.0,0.0,108873.0,0.0192139737991266,0.47710387138897925,Medium,0.517972331422943
06073013324,133.24,568.0,0.0,125244.0,0.0036144578313253,0.5376899793762893,Medium,0.4043240013495594
06073009000,90,393.0,2.544529262086514,112292.0,0.0238957277335264,0.4844725441236272,Medium,0.17003187004816883
06073008371,83.71,544.0,3.676470588235294,159405.0,0.040207522697795,0.47126662824234505,Medium,0.1516811240745236
06073008371,83.71,544.0,3.676470588235294,159405.0,0.040207522697795,0.47126662824234505,Medium,0.1516811240745236
06073008368,83.68,1130.0,0.8849557522123894,211830.0,0.0061951471347444,0.4494314130026682,Medium,0.20151744274038946
06073017057,170.57,408.0,0.0,173750.0,0.0267022696929239,0.45060126327274164,Medium,0.41883317868492753
06073021502,215.02,1886.0,1.0604453870625663,176076.0,0.0472415979708306,0.49629471248228924,Medium,0.24035971857818417
06073021502,215.02,1886.0,1.0604453870625663,176076.0,0.0472415979708306,0.49629471248228924,Medium,0.24035971857818417
06073007601,76.01,22.0,136.36363636363637,93785.0,0.0657004830917874,0.3044919188622346,Low,0.24784940448433054
06073007601,76.01,22.0,136.36363636363637,93785.0,0.0657004830917874,0.3044919188622346,Low,0.24784940448433054
06073007601,76.01,22.0,136.36363636363637,93785.0,0.0657004830917874,0.3044919188622346,Low,0.24784940448433054
06073008373,83.73,354.0,2.824858757062147,219271.0,0.0354118552732871,0.4164761742374605,Medium,0.13255329194121676
06073017201,172.01,131.0,0.0,193348.0,0.0161702127659574,0.4140464974627299,Medium,0.40108468529667846
06073007911,79.11,105.0,0.0,115134.0,0.110277569392348,0.48003314448198064,Medium,0.42242807688599476
06073018102,181.02,88.0,0.0,87976.0,0.0088709677419354,0.4738001847375088,Medium,0.3874632697316606
06073008201,82.01,45.0,66.66666666666667,129688.0,0.068259385665529,0.3717596575199682,Low,0.13160534444227473
06073008201,82.01,45.0,66.66666666666667,129688.0,0.068259385665529,0.3717596575199682,Low,0.13160534444227473
06073008201,82.01,45.0,66.66666666666667,129688.0,0.068259385665529,0.3717596575199682,Low,0.13160534444227473
06073020035,200.35,1105.0,0.0,172092.0,0.0058400718778077,0.4782142037704357,Medium,0.44913647127206113
06073020032,200.32,677.0,0.0,163000.0,0.0207407407407407,0.4992859789278091,Medium,0.4168735475116577
06073020033,200.33,447.0,0.0,115682.0,0.0172413793103448,0.4872795152499527,Medium,0.37659779363846596
06073020030,200.30,1957.0,0.0,180625.0,0.0672012218403971,0.507917652294088,Medium,0.5148855371665487
06073008377,83.77,123.0,0.0,79444.0,0.145360824742268,0.5194841864574175,Medium,0.4235897925440431
06073008379,83.79,219.0,0.0,65625.0,0.2631859350026638,0.5482273134115103,Medium,0.4416112044798388
06073018202,182.02,372.0,0.0,82875.0,0.0161702127659574,0.5095537365175744,Medium,0.430826781826633
06073018616,186.16,185.0,0.0,66733.0,0.1057563587684069,0.5165284507829285,Medium,0.41809337350833903
06073010018,100.18,1079.0,0.9267840593141798,139643.0,0.0236294896030245,0.4957081465163729,Medium,0.21315783038161723
06073005102,51.02,0.0,,85541.0,0.2048417132216015,,,
06073005101,51.01,318.0,0.0,64155.0,0.1928429423459244,0.549793020451262,Medium,0.46606440397361365
06073017901,179.01,151.0,0.0,72901.0,0.0963157894736842,0.5029222606585876,Medium,0.412596272050453
06073022102,221.02,1695.0,0.0,143056.0,0.0138181818181818,0.5232026829201337,Medium,0.5120285794644515
06073017070,170.70,1183.0,0.0,195865.0,0.0364217252396166,0.4880234746986038,Medium,0.4240654515041183
06073008380,83.80,519.0,1.9267822736030829,92583.0,0.0043747721472839,0.48695807672199026,Medium,0.15465110218633082
06073018301,183.01,36.0,0.0,72230.0,0.0373134328358208,0.4925878230237798,Medium,0.41297409087800135
06073017902,179.02,239.0,0.0,72863.0,0.0,0.5033406583346,Medium,0.38740913937394206
06073007912,79.12,49.0,40.81632653061224,113724.0,0.0536277602523659,0.4120610685952143,Medium,0.1428848938725981
06073007912,79.12,49.0,40.81632653061224,113724.0,0.0536277602523659,0.4120610685952143,Medium,0.1428848938725981
06073007602,76.02,12.0,83.33333333333333,129764.0,0.1208198489751887,0.35432960036428934,Low,0.11885615794278341
06073013327,133.27,587.0,0.0,144328.0,0.0789317507418397,0.47824196221739357,Medium,0.4283033940308114
06073017606,176.06,435.0,0.0,97412.0,0.0386940749697702,0.5108325612287766,Medium,0.4296845528029937
06073017605,176.05,696.0,0.0,135797.0,0.0983858570330515,0.5251431762241443,Medium,0.43239698386425474
06073013321,133.21,1558.0,0.0,148068.0,0.0044943820224719,0.4981511930007002,Medium,0.4567471006889402
06073020038,200.38,483.0,0.0,157069.0,0.0,0.45035745604421734,Medium,0.41441377259620343
06073000301,3.01,111.0,0.0,79605.0,0.0899122807017543,0.49992514243813035,Medium,0.45868638426132025
06073005103,51.03,383.0,0.0,24125.0,0.4066073697585768,0.6360981902040624,High,0.49010102313820947
06073020712,207.12,328.0,0.0,135163.0,0.0235373234700739,0.4638633645868105,Medium,0.40744670712476494
06073005401,54.01,0.0,,185814.0,0.1370558375634517,,,
06073005601,56.01,116.0,0.0,58924.0,0.3387710712343665,0.564243358314142,Medium,0.4619073533818034
06073000302,3.02,41.0,0.0,89850.0,0.0445572476029328,0.4705976551294661,Medium,0.4235128672164137
