tract_geoid,NAME,NAMELSAD,median_hh_income,poverty_rate_pct,pct_hh_zero_vehicle,pct_hh_no_internet,total_population,opportunity_index_acs
06073016403,164.03,Census Tract 164.03,81083.0,11.1,9.47176684881603,1.0321797207043109,5428,58.07295039806082
06073020812,208.12,Census Tract 208.12,51121.0,3.8,0.6234413965087282,2.7431421446384037,2217,66.2786031492973
06073021102,211.02,Census Tract 211.02,52212.0,33.9,4.59652706843718,13.381001021450459,2966,15.465312221629027
06073010016,100.16,Census Tract 100.16,,,,,3217,
06073013316,133.16,Census Tract 133.16,141364.0,5.2,3.2056990204808544,0.0,7733,82.2808068474845
06073019111,191.11,Census Tract 191.11,125366.0,10.9,0.24650780608052586,5.587510271158587,4504,67.55843536775811
06073019110,191.10,Census Tract 191.10,130402.0,7.0,1.3651877133105803,2.7986348122866893,5108,75.76752226743474
06073013315,133.15,Census Tract 133.15,139476.0,8.4,0.0,0.0,3893,82.51735750539792
06073018615,186.15,Census Tract 186.15,66580.0,8.3,0.0,8.111239860950175,3191,55.79754649575476
06073020040,200.40,Census Tract 200.40,140746.0,10.0,7.956844234659474,9.912339851652057,4095,54.82138917580433
06073013608,136.08,Census Tract 136.08,84926.0,18.9,15.863840719332048,9.633911368015415,3881,29.18168964637703
06073013607,136.07,Census Tract 136.07,80885.0,4.7,2.2411953041622197,7.150480256136606,2301,60.788189218982474
06073008202,82.02,Census Tract 82.02,105094.0,5.5,37.7845220030349,14.41578148710167,1196,12.429550001168922
06073013422,134.22,Census Tract 134.22,149167.0,3.8,1.5718562874251496,1.721556886227545,4213,83.56283179036971
06073017062,170.62,Census Tract 170.62,246078.0,2.6,0.8871989860583016,0.0,4976,100.0
06073020310,203.10,Census Tract 203.10,119141.0,8.1,0.0,0.6184770003865481,9136,78.26384347225851
06073017308,173.08,Census Tract 173.08,113239.0,9.2,8.745583038869258,2.7385159010600706,2288,62.94727191481926
06073020311,203.11,Census Tract 203.11,108821.0,13.0,7.83657066309444,6.764902880107167,3841,52.48475038080252
06073017066,170.66,Census Tract 170.66,197794.0,10.1,0.6772009029345373,5.643340857787811,5405,79.89866228324023
06073019108,191.08,Census Tract 191.08,96621.0,11.3,1.0817307692307692,6.490384615384616,2344,59.83086784543605
06073013326,133.26,Census Tract 133.26,179425.0,0.9,0.0,0.0,3860,96.10620661732398
06073022101,221.01,Census Tract 221.01,156678.0,2.9,0.0,1.301775147928994,2279,88.11316138165874
06073010019,100.19,Census Tract 100.19,131316.0,4.8,0.0,0.5545286506469501,3568,83.44949165801187
06073016703,167.03,Census Tract 167.03,107202.0,5.9,2.3126734505087883,4.6253469010175765,2986,68.56664754691812
06073020034,200.34,Census Tract 200.34,240587.0,1.8,0.0,0.0,2560,100.0
06073016705,167.05,Census Tract 167.05,63523.0,8.4,10.25081788440567,7.088331515812432,4893,45.879168395736095
06073020312,203.12,Census Tract 203.12,111906.0,3.6,5.531112507856694,5.153991200502828,4180,67.01611216607881
06073020313,203.13,Census Tract 203.13,54900.0,15.9,8.943781942078365,7.155025553662692,2575,38.858279169055095
06073019210,192.10,Census Tract 192.10,74038.0,14.1,0.9793253536452665,4.896626768226333,6318,56.440186461937444
06073020111,201.11,Census Tract 201.11,167534.0,1.2,3.11787072243346,1.4448669201520912,3858,87.84829525808313
06073020039,200.39,Census Tract 200.39,152083.0,5.2,0.0,0.0,2038,87.56921998265656
06073020044,200.44,Census Tract 200.44,207500.0,7.2,1.330671989354624,0.5322687957418496,9367,92.64994793314843
06073020036,200.36,Census Tract 200.36,71555.0,21.7,1.9230769230769231,5.096153846153846,3649,47.673524664240446
