GEOID,NAME,pop_total,youth_5_17,youth_10_19,youth_5_17_per_1k,youth_10_19_per_1k,median_hh_income_2023usd,households_total,households_zero_veh,zero_veh_share
Geography,Geographic Area Name,,,,,,,,,
06073008303,Census Tract 83.03; San Diego County; California,3021.0,532.0,301.0,176.1006289308176,99.63588215822575,227275.0,1307.0,14.0,0.010711553175210406
06073008305,Census Tract 83.05; San Diego County; California,7705.0,103.0,4220.0,13.36794289422453,547.6963011031797,41776.0,465.0,119.0,0.25591397849462366
06073008306,Census Tract 83.06; San Diego County; California,2688.0,420.0,299.0,156.25,111.23511904761905,232614.0,1069.0,11.0,0.01028999064546305
06073008307,Census Tract 83.07; San Diego County; California,4348.0,688.0,494.0,158.23367065317387,113.61545538178473,122083.0,1689.0,153.0,0.0905861456483126
06073008310,Census Tract 83.10; San Diego County; California,6250.0,844.0,587.0,135.04,93.92,153897.0,2395.0,75.0,0.031315240083507306
06073008311,Census Tract 83.11; San Diego County; California,2724.0,459.0,333.0,168.5022026431718,122.2466960352423,,1064.0,7.0,0.006578947368421052
06073008312,Census Tract 83.12; San Diego County; California,3841.0,444.0,469.0,115.59489716219734,122.10361884925801,140463.0,1692.0,12.0,0.0070921985815602835
06073008313,Census Tract 83.13; San Diego County; California,2214.0,379.0,315.0,171.18337850045168,142.27642276422765,242083.0,808.0,39.0,0.04826732673267327
06073008324,Census Tract 83.24; San Diego County; California,7175.0,769.0,710.0,107.17770034843205,98.95470383275261,194130.0,2994.0,40.0,0.013360053440213761
06073008327,Census Tract 83.27; San Diego County; California,6038.0,1045.0,847.0,173.0705531632991,140.27823782709507,174659.0,2416.0,11.0,0.004552980132450331
06073008328,Census Tract 83.28; San Diego County; California,7766.0,2067.0,1744.0,266.1601854236415,224.56863250064384,,2543.0,52.0,0.020448289421942586
06073008330,Census Tract 83.30; San Diego County; California,4901.0,1177.0,742.0,240.1550703937972,151.39767394409304,176190.0,1840.0,74.0,0.04021739130434782
06073008331,Census Tract 83.31; San Diego County; California,2766.0,615.0,556.0,222.34273318872016,201.0122921185828,217083.0,943.0,14.0,0.014846235418875928
06073008336,Census Tract 83.36; San Diego County; California,2086.0,401.0,294.0,192.2339405560882,140.93959731543623,197841.0,742.0,8.0,0.01078167115902965
06073008337,Census Tract 83.37; San Diego County; California,4996.0,875.0,677.0,175.14011208967173,135.5084067253803,180496.0,1510.0,0.0,0.0
06073008339,Census Tract 83.39; San Diego County; California,1882.0,66.0,44.0,35.06907545164719,23.379383634431456,80417.0,777.0,65.0,0.08365508365508366
06073008343,Census Tract 83.43; San Diego County; California,4165.0,290.0,320.0,69.62785114045619,76.83073229291716,82325.0,1765.0,150.0,0.08498583569405099
06073008344,Census Tract 83.44; San Diego County; California,3460.0,642.0,393.0,185.5491329479769,113.58381502890174,176680.0,1181.0,6.0,0.005080440304826418
06073008345,Census Tract 83.45; San Diego County; California,4204.0,632.0,371.0,150.33301617507135,88.24928639391057,88095.0,1950.0,93.0,0.047692307692307694
06073008346,Census Tract 83.46; San Diego County; California,4255.0,491.0,321.0,115.3936545240893,75.4406580493537,177386.0,1561.0,19.0,0.012171684817424727
06073008347,Census Tract 83.47; San Diego County; California,6704.0,770.0,558.0,114.85680190930788,83.23389021479714,145714.0,2020.0,29.0,0.014356435643564357
06073008348,Census Tract 83.48; San Diego County; California,4935.0,477.0,243.0,96.65653495440729,49.24012158054711,150847.0,1677.0,88.0,0.05247465712581992
